timestamp_ms,left_ticks,right_ticks,speed_mps
1900,3902,3901,2.078
1920,3945,3943,2.159
1940,3987,3985,2.147
1960,4029,4027,2.118
1980,4071,4070,2.113
2000,4112,4111,2.095
2020,4154,4153,2.106
2040,4197,4197,2.169
2060,4240,4240,2.151
2080,4283,4282,2.179
2100,4325,4325,2.142
2120,4368,4368,2.167
2140,4409,4408,2.090
2160,4450,4449,2.085
2180,4491,4490,2.097
2200,4534,4533,2.174
2220,4576,4576,2.132
2240,4619,4620,2.153
2260,4661,4663,2.132
2280,4703,4705,2.147
2300,4745,4747,2.141
2320,4788,4790,2.151
2340,4831,4833,2.180
2360,4873,4875,2.126
2380,4915,4916,2.112
2400,4958,4959,2.165
2420,5001,5003,2.173
2440,5044,5046,2.168
2460,5086,5089,2.112
2480,5129,5133,2.191
2500,5172,5177,2.169
2520,5215,5221,2.158
2540,5257,5263,2.147
2560,5299,5304,2.129
2580,5342,5347,2.169
2600,5385,5390,2.184
2620,5428,5433,2.155
2640,5470,5474,2.118
2660,5513,5517,2.173
2680,5555,5560,2.129
2700,5599,5603,2.215
2720,5641,5645,2.134
2740,5684,5687,2.168
2760,5727,5729,2.175
2780,5769,5770,2.148
2800,5812,5813,2.193
2820,5855,5856,2.188
2840,5898,5898,2.181
2860,5941,5942,2.176
2880,5984,5985,2.187
2900,6027,6028,2.173
2920,6070,6070,2.161
2940,6114,6114,2.203
2960,6158,6158,2.208
2980,6200,6201,2.142
3000,6243,6243,2.195
3020,6287,6287,2.204
3040,6331,6330,2.221
3060,6374,6372,2.170
3080,6417,6414,2.155
3100,6461,6458,2.229
3120,6504,6501,2.170
3140,6547,6544,2.174
3160,6589,6585,2.149
3180,6633,6629,2.209
3200,6677,6673,2.216
3220,6721,6717,2.232
3240,6765,6761,2.231
3260,6809,6804,2.202
3280,6852,6846,2.189
3300,6897,6891,2.253
3320,6941,6936,2.241
3340,6985,6980,2.236
3360,7029,7024,2.226
3380,7072,7067,2.182
3400,7115,7110,2.168
3420,7159,7153,2.239
3440,7202,7197,2.170
3460,7246,7241,2.206
3480,7290,7285,2.215
3500,7334,7330,2.207
3520,7378,7374,2.217
3540,7422,7419,2.224
3560,7465,7463,2.174
3580,7509,7507,2.212
3600,7554,7551,2.271
3620,7597,7594,2.186
3640,7642,7640,2.273
3660,7686,7684,2.240
3680,7730,7728,2.213
3700,7775,7773,2.261
3720,7819,7818,2.248
3740,7863,7862,2.230
3760,7908,7907,2.258
3780,7952,7951,2.238
3800,7996,7994,2.219
3820,8041,8038,2.256
3840,8084,8080,2.191
3860,8128,8125,2.244
3880,8172,8169,2.228
3900,8216,8212,2.219
3920,8259,8254,2.197
3940,8303,8298,2.202
3960,8348,8342,2.293
3980,8393,8386,2.270
4000,8437,8430,2.209
4020,8481,8474,2.239
4040,8526,8519,2.292
4060,8570,8564,2.229
4080,8615,8608,2.271
4100,8660,8653,2.270
4120,8705,8698,2.284
4140,8749,8741,2.234
4160,8793,8784,2.238
4180,8837,8828,2.250
4200,8883,8874,2.312
4220,8929,8920,2.309
4240,8973,8963,2.233
4260,9018,9008,2.265
4280,9063,9053,2.279
4300,9108,9097,2.283
4320,9152,9142,2.234
4340,9196,9185,2.243
4360,9242,9231,2.314
4380,9286,9274,2.234
4400,9330,9318,2.232
4420,9376,9363,2.304
4440,9422,9409,2.317
4460,9467,9453,2.294
4480,9513,9500,2.323
4500,9558,9545,2.258
4520,9604,9590,2.323
4540,9649,9636,2.285
4560,9694,9682,2.283
4580,9740,9727,2.321
4600,9785,9771,2.292
4620,9830,9817,2.277
4640,9875,9862,2.252
4660,9920,9907,2.275
4680,9965,9951,2.283
4700,10010,9996,2.280
4720,10055,10042,2.253
4740,10101,10088,2.322
4760,10147,10134,2.312
4780,10193,10181,2.304
4800,10239,10227,2.316
4820,10285,10272,2.321
4840,10331,10318,2.316
4860,10377,10365,2.302
4880,10423,10411,2.329
4900,10468,10455,2.260
4920,10514,10501,2.329
4940,10560,10546,2.308
4960,10606,10592,2.339
4980,10652,10639,2.311
5000,10699,10685,2.359
5020,10744,10729,2.267
5040,10789,10773,2.299
5060,10835,10819,2.307
5080,10881,10866,2.348
5100,10928,10913,2.363
5120,10974,10959,2.344
5140,11021,11005,2.364
5160,11067,11052,2.346
5180,11113,11099,2.339
5200,11160,11145,2.366
5220,11206,11191,2.301
5240,11251,11235,2.279
5260,11298,11281,2.369
5280,11344,11327,2.326
5300,11391,11373,2.365
5320,11438,11419,2.364
5340,11483,11464,2.295
5360,11528,11509,2.291
5380,11574,11556,2.329
5400,11620,11602,2.320
5420,11666,11648,2.321
5440,11713,11695,2.366
5460,11759,11740,2.325
5480,11805,11787,2.320
5500,11851,11833,2.311
5520,11898,11881,2.350
5540,11944,11926,2.321
5560,11990,11973,2.311
5580,12037,12019,2.377
5600,12084,12065,2.388
5620,12130,12111,2.302
5640,12177,12158,2.395
5660,12223,12205,2.345
5680,12270,12252,2.374
5700,12316,12298,2.321
5720,12363,12346,2.360
5740,12409,12392,2.333
5760,12456,12438,2.371
5780,12503,12486,2.371
5800,12550,12532,2.374
5820,12597,12579,2.376
5840,12643,12624,2.350
5860,12690,12671,2.372
5880,12736,12716,2.329
5900,12783,12763,2.381
5920,12830,12810,2.366
5940,12876,12856,2.349
5960,12922,12902,2.334
5980,12969,12950,2.392
6160,13016,12997,2.385
6180,13064,13044,2.403
6200,13110,13090,2.343
6220,13157,13138,2.367
6240,13204,13186,2.365
6260,13250,13231,2.346
6280,13298,13279,2.435
6300,13345,13325,2.360
6320,13392,13371,2.394
6340,13439,13418,2.353
6360,13487,13466,2.420
6380,13534,13513,2.391
6400,13581,13559,2.373
6420,13628,13605,2.384
6440,13675,13653,2.376
6460,13723,13702,2.441
6480,13771,13749,2.444
6500,13819,13798,2.403
6520,13866,13846,2.363
6540,13913,13894,2.373
6560,13960,13941,2.378
6580,14007,13988,2.375
6600,14055,14036,2.426
6620,14102,14083,2.384
6640,14149,14129,2.368
6660,14196,14175,2.394
6680,14245,14225,2.453
6700,14293,14273,2.411
6720,14340,14320,2.392
6740,14388,14368,2.432
6760,14436,14416,2.430
6780,14483,14464,2.382
6800,14532,14513,2.461
6820,14580,14562,2.435
6840,14628,14611,2.405
6860,14677,14660,2.452
6880,14725,14709,2.405
6900,14773,14757,2.439
6920,14822,14805,2.474
6940,14870,14852,2.426
6960,14917,14900,2.389
6980,14966,14948,2.460
7000,15014,14997,2.430
7020,15062,15044,2.437
7040,15110,15092,2.435
7060,15157,15138,2.400
7080,15206,15188,2.462
7100,15255,15237,2.489
7120,15303,15285,2.431
7140,15352,15333,2.461
7160,15399,15380,2.399
7180,15447,15429,2.415
7200,15496,15477,2.486
7220,15545,15527,2.499
7240,15594,15577,2.480
7260,15642,15625,2.422
7280,15691,15673,2.468
7300,15740,15721,2.492
7320,15788,15769,2.446
7340,15837,15818,2.462
7360,15886,15867,2.453
7380,15935,15916,2.481
7400,15984,15964,2.491
7420,16033,16013,2.476
7440,16082,16061,2.489
7460,16131,16110,2.468
7480,16181,16159,2.506
7500,16230,16209,2.457
7520,16279,16258,2.482
7540,16328,16306,2.458
7560,16377,16355,2.479
7580,16425,16403,2.438
7600,16473,16450,2.449
7620,16522,16499,2.491
7640,16572,16549,2.503
7660,16621,16598,2.461
7680,16670,16648,2.480
7700,16719,16696,2.459
7720,16768,16746,2.470
7740,16817,16794,2.482
7760,16866,16843,2.482
7780,16915,16892,2.481
7800,16965,16941,2.517
7820,17014,16991,2.458
7840,17062,17040,2.449
7860,17112,17090,2.531
7880,17162,17139,2.538
7900,17211,17188,2.455
7920,17260,17237,2.456
7940,17309,17286,2.496
7960,17358,17334,2.500
7980,17407,17383,2.478
8000,17456,17433,2.497
